City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,vaxjo,56.8777,14.8091,57.25,76,0,6.91,SE,1684964225
334,krasnovishersk,60.4078,57.082,58.08,68,57,4.0,RU,1684964226
335,kavaratti,10.5669,72.642,84.79,70,7,7.36,IN,1684964226
336,bodo,67.28,14.405,42.84,80,75,24.16,NO,1684964226
337,aswan,24.0934,32.907,88.5,14,22,11.27,EG,1684964226
338,notodden,59.5594,9.2585,55.22,65,58,4.56,NO,1684964146
339,sao miguel do araguaia,-13.275,-50.1628,79.61,47,50,2.15,BR,1684964226
340,medicine hat,50.0501,-110.6683,65.21,55,100,9.22,CA,1684964121
341,fortuna,40.5982,-124.1573,63.93,74,0,14.97,US,1684964116
342,port moresby,-9.4431,147.1797,74.62,94,75,11.5,PG,1684964226
343,yermolayevo,52.7167,55.8,61.09,50,23,6.44,RU,1684964226
344,maintirano,-18.0667,44.0167,71.06,73,0,10.76,MG,1684964226
345,alva,56.1528,-3.8051,54.59,63,3,1.99,GB,1684964227
346,saguenay,48.4168,-71.0657,54.41,53,75,40.29,CA,1684964227
347,khorinsk,52.1657,109.7726,38.8,68,100,7.61,RU,1684964227
348,berdigestyakh,62.0989,126.6992,43.48,56,16,3.91,RU,1684964227
349,san antonio de pale,-1.4014,5.6325,80.13,87,83,8.03,GQ,1684964227
350,colares,38.7992,-9.4469,69.76,65,20,14.0,PT,1684964227
351,san bernardo del viento,9.3533,-75.9524,82.76,76,100,7.4,CO,1684964227
352,opuwo,-18.0607,13.84,63.12,50,3,3.98,NA,1684964227
353,ponnur,16.0711,80.5494,86.54,75,1,8.55,IN,1684964227
354,zhangatas,43.5667,69.75,60.06,43,21,5.01,KZ,1684964228
355,acapulco de juarez,16.8634,-99.8901,89.42,62,20,13.8,MX,1684963938
356,aden,12.7794,45.0367,85.86,74,58,10.98,YE,1684964228
357,north bay,46.3168,-79.4663,53.11,42,20,16.11,CA,1684964064
358,roma,43.2128,-75.4557,54.73,76,100,10.36,US,1684964228
359,nyurba,63.2842,118.3319,42.82,49,22,5.48,RU,1684964228
360,zyrya,40.3661,50.2917,71.69,78,88,7.38,AZ,1684964228
361,port alfred,-33.5906,26.891,68.32,42,67,9.82,ZA,1684964228
362,revda,56.801,59.9303,57.06,56,43,2.13,RU,1684964228
363,holualoa,19.6228,-155.9522,78.64,82,40,12.66,US,1684964061
